institution,state,2021_22_tuitionfee_in,2021_22_tuitionfee_out,2021_22_undergrad_enrollment,2022_23_tuitionfee_in,2022_23_tuitionfee_out,2022_23_undergrad_enrollment,2023_24_tuitionfee_in,2023_24_tuitionfee_out,2023_24_undergrad_enrollment
Allegany College of Maryland,MD,4730,10280,1671,4730,11060,1764,4730,12050,1743
Anne Arundel Community College,MD,4910,13550,8574,4970,13760,8326,4178,11330,8570
Award Beauty School,MD,NA,NA,94,NA,NA,147,NA,NA,132
Baltimore Studio of Hair Design,MD,NA,NA,28,NA,NA,43,NA,NA,39
Baltimore City Community College,MD,3314,7394,3171,3314,7394,2594,3314,7394,3234
University of Baltimore,MD,9364,22550,1579,9506,22956,1351,9772,23490,1276
Bowie State University,MD,8558,19298,5279,8748,19470,5289,8999,19889,5207
Capitol Technology University,MD,26934,26934,322,27004,27004,296,27318,27318,259
Cecil College,MD,4770,9510,1356,4920,9510,1315,5370,9960,1369
College of Southern Maryland,MD,4020,9030,5149,4110,9240,4378,4200,9450,4422
Chesapeake College,MD,3890,7400,1341,4010,8504,1273,4010,8504,1275
Washington Adventist University,MD,25200,25200,594,25200,25200,499,25200,25200,522
Coppin State University,MD,6809,13334,1785,6904,13560,1708,7001,13789,1756
Del-Mar-Va Beauty Academy,MD,NA,NA,49,NA,NA,54,NA,NA,43
North American Trade Schools,MD,NA,NA,643,NA,NA,612,NA,NA,529
Frederick Community College,MD,3772,9844,3632,3772,9844,3653,3772,9844,4116
Frostburg State University,MD,9594,24080,3289,9804,24684,2874,9998,25180,2849
Garrett College,MD,3976,10976,390,3976,12124,367,4060,11368,424
Goucher College,MD,48200,48200,1054,49220,49220,981,51250,51250,948
Hagerstown Community College,MD,4320,8190,2675,4320,8190,2695,4320,8190,2783
Harford Community College,MD,3827,8302,3758,3888,8448,3620,3974,8630,3628
Hood College,MD,43140,43140,1202,44500,44500,1182,45870,45870,1202
Howard Community College,MD,4080,7968,7188,4088,8408,6905,4080,8976,6779
Aveda Institute-Maryland,MD,NA,NA,129,NA,NA,94,NA,NA,84
Johns Hopkins University,MD,58720,58720,5727,60480,60480,5643,63340,63340,5617
Lincoln College of Technology-Columbia,MD,NA,NA,1109,NA,NA,947,NA,NA,1075
Loyola University Maryland,MD,53530,53530,3768,53430,53430,3968,55480,55480,3975
University of Maryland Global Campus,MD,7704,12336,42992,7848,12336,44458,7992,12336,48238
University of Maryland Baltimore,MD,NA,NA,912,NA,NA,956,NA,NA,959
University of Maryland-Baltimore County,MD,12280,28470,10747,12606,29370,10557,12952,30308,10434
University of Maryland-College Park,MD,10955,38636,30368,11233,39469,29982,11505,40306,30246
